staff,start,end,raw_labels,comment,is_ambiguous,labels,file_name
0,286.0,292.0,{'REF'},,False,{'REF'},Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_286.0_292.0_REF.mid
0,292.0,298.0,set(),,False,"{'SP-PT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_292.0_298.0.mid
0,298.0,304.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_298.0_304.0.mid
0,306.0,310.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_306.0_310.0.mid
0,312.0,315.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_312.0_315.0.mid
0,316.0,318.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_316.0_318.0.mid
0,319.0,321.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_319.0_321.0.mid
0,322.0,324.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_322.0_324.0.mid
0,324.0,327.0,"{'RT', 'RA', 'PA'}",,False,"{'RT', 'PA', 'RA-Off'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_0_324.0_327.0.mid
1,288.0,294.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_1_288.0_294.0.mid
1,294.0,300.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_1_294.0_300.0.mid
1,300.0,306.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_1_300.0_306.0.mid
1,311.0,313.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_1_311.0_313.0.mid
1,313.0,316.0,"{'RA', 'PA'}",,False,"{'PA', 'RA-Off'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_1_313.0_316.0.mid
2,287.0,292.0,{'RA'},,False,"{'PA-TT', 'RA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_2_287.0_292.0.mid
2,292.0,298.0,{'PA'},,False,"{'SR', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_2_292.0_298.0.mid
2,317.0,319.0,set(),,False,"{'PA-TT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_2_317.0_319.0.mid
3,298.0,304.0,set(),,False,"{'SP-PT', 'SR'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_298.0_304.0.mid
3,306.0,310.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_306.0_310.0.mid
3,312.0,315.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_312.0_315.0.mid
3,316.0,318.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_316.0_318.0.mid
3,319.0,321.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_319.0_321.0.mid
3,322.0,324.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_322.0_324.0.mid
3,325.0,327.0,"{'RA', 'PA'}",,False,"{'RA', 'PA'}",Josquin-Missa_Pange_Lingua_I(half)_ann6_midi_3_325.0_327.0.mid
